,Date
0,2023-01-01 00:00:00.000000000
1,2023-01-01 00:40:35.876384478
2,2023-01-01 01:21:11.752768956
3,2023-01-01 02:01:47.629153435
4,2023-01-01 02:42:23.505537913
5,2023-01-01 03:22:59.381922391
6,2023-01-01 04:03:35.258306870
7,2023-01-01 04:44:11.134691348
8,2023-01-01 05:24:47.011075826
9,2023-01-01 06:05:22.887460305
10,2023-01-01 06:45:58.763844783
11,2023-01-01 07:26:34.640229261
12,2023-01-01 08:07:10.516613740
13,2023-01-01 08:47:46.392998218
14,2023-01-01 09:28:22.269382696
15,2023-01-01 10:08:58.145767175
16,2023-01-01 10:49:34.022151653
17,2023-01-01 11:30:09.898536131
18,2023-01-01 12:10:45.774920610
19,2023-01-01 12:51:21.651305088
20,2023-01-01 13:31:57.527689567
21,2023-01-01 14:12:33.404074045
22,2023-01-01 14:53:09.280458523
23,2023-01-01 15:33:45.156843002
24,2023-01-01 16:14:21.033227480
25,2023-01-01 16:54:56.909611958
26,2023-01-01 17:35:32.785996437
27,2023-01-01 18:16:08.662380915
28,2023-01-01 18:56:44.538765393
29,2023-01-01 19:37:20.415149872
30,2023-01-01 20:17:56.291534350
31,2023-01-01 20:58:32.167918828
32,2023-01-01 21:39:08.044303307
33,2023-01-01 22:19:43.920687785
34,2023-01-01 23:00:19.797072263
35,2023-01-01 23:40:55.673456742
36,2023-01-02 00:21:31.549841220
37,2023-01-02 01:02:07.426225699
38,2023-01-02 01:42:43.302610177
39,2023-01-02 02:23:19.178994655
40,2023-01-02 03:03:55.055379134
41,2023-01-02 03:44:30.931763612
42,2023-01-02 04:25:06.808148090
43,2023-01-02 05:05:42.684532569
44,2023-01-02 05:46:18.560917047
45,2023-01-02 06:26:54.437301525
46,2023-01-02 07:07:30.313686004
47,2023-01-02 07:48:06.190070482
48,2023-01-02 08:28:42.066454960
49,2023-01-02 09:09:17.942839439
50,2023-01-02 09:49:53.819223917
51,2023-01-02 10:30:29.695608395
52,2023-01-02 11:11:05.571992874
53,2023-01-02 11:51:41.448377352
54,2023-01-02 12:32:17.324761830
55,2023-01-02 13:12:53.201146309
56,2023-01-02 13:53:29.077530787
57,2023-01-02 14:34:04.953915266
58,2023-01-02 15:14:40.830299744
59,2023-01-02 15:55:16.706684222
60,2023-01-02 16:35:52.583068701
61,2023-01-02 17:16:28.459453179
62,2023-01-02 17:57:04.335837657
63,2023-01-02 18:37:40.212222136
64,2023-01-02 19:18:16.088606614
65,2023-01-02 19:58:51.964991092
66,2023-01-02 20:39:27.841375571
67,2023-01-02 21:20:03.717760049
68,2023-01-02 22:00:39.594144527
69,2023-01-02 22:41:15.470529006
70,2023-01-02 23:21:51.346913484
71,2023-01-03 00:02:27.223297962
72,2023-01-03 00:43:03.099682441
73,2023-01-03 01:23:38.976066919
74,2023-01-03 02:04:14.852451398
75,2023-01-03 02:44:50.728835876
76,2023-01-03 03:25:26.605220354
77,2023-01-03 04:06:02.481604833
78,2023-01-03 04:46:38.357989311
79,2023-01-03 05:27:14.234373789
80,2023-01-03 06:07:50.110758268
81,2023-01-03 06:48:25.987142746
82,2023-01-03 07:29:01.863527224
83,2023-01-03 08:09:37.739911703
84,2023-01-03 08:50:13.616296181
85,2023-01-03 09:30:49.492680659
86,2023-01-03 10:11:25.369065138
87,2023-01-03 10:52:01.245449616
88,2023-01-03 11:32:37.121834094
89,2023-01-03 12:13:12.998218573
90,2023-01-03 12:53:48.874603051
91,2023-01-03 13:34:24.750987530
92,2023-01-03 14:15:00.627372008
93,2023-01-03 14:55:36.503756486
94,2023-01-03 15:36:12.380140965
95,2023-01-03 16:16:48.256525443
96,2023-01-03 16:57:24.132909921
97,2023-01-03 17:38:00.009294400
98,2023-01-03 18:18:35.885678878
99,2023-01-03 18:59:11.762063356
100,2023-01-03 19:39:47.638447835
101,2023-01-03 20:20:23.514832313
102,2023-01-03 21:00:59.391216791
103,2023-01-03 21:41:35.267601270
104,2023-01-03 22:22:11.143985748
105,2023-01-03 23:02:47.020370226
106,2023-01-03 23:43:22.896754705
107,2023-01-04 00:23:58.773139183
108,2023-01-04 01:04:34.649523661
109,2023-01-04 01:45:10.525908140
110,2023-01-04 02:25:46.402292618
111,2023-01-04 03:06:22.278677097
112,2023-01-04 03:46:58.155061575
113,2023-01-04 04:27:34.031446053
114,2023-01-04 05:08:09.907830532
115,2023-01-04 05:48:45.784215010
116,2023-01-04 06:29:21.660599488
117,2023-01-04 07:09:57.536983967
118,2023-01-04 07:50:33.413368445
119,2023-01-04 08:31:09.289752923
120,2023-01-04 09:11:45.166137402
121,2023-01-04 09:52:21.042521880
122,2023-01-04 10:32:56.918906358
123,2023-01-04 11:13:32.795290837
124,2023-01-04 11:54:08.671675315
125,2023-01-04 12:34:44.548059793
126,2023-01-04 13:15:20.424444272
127,2023-01-04 13:55:56.300828750
128,2023-01-04 14:36:32.177213229
129,2023-01-04 15:17:08.053597707
130,2023-01-04 15:57:43.929982185
131,2023-01-04 16:38:19.806366664
132,2023-01-04 17:18:55.682751142
133,2023-01-04 17:59:31.559135620
134,2023-01-04 18:40:07.435520099
135,2023-01-04 19:20:43.311904577
136,2023-01-04 20:01:19.188289055
137,2023-01-04 20:41:55.064673534
138,2023-01-04 21:22:30.941058012
139,2023-01-04 22:03:06.817442490
140,2023-01-04 22:43:42.693826969
141,2023-01-04 23:24:18.570211447
142,2023-01-05 00:04:54.446595925
143,2023-01-05 00:45:30.322980404
144,2023-01-05 01:26:06.199364882
145,2023-01-05 02:06:42.075749361
146,2023-01-05 02:47:17.952133839
147,2023-01-05 03:27:53.828518317
148,2023-01-05 04:08:29.704902796
149,2023-01-05 04:49:05.581287274
150,2023-01-05 05:29:41.457671752
151,2023-01-05 06:10:17.334056231
152,2023-01-05 06:50:53.210440709
153,2023-01-05 07:31:29.086825187
154,2023-01-05 08:12:04.963209666
155,2023-01-05 08:52:40.839594144
156,2023-01-05 09:33:16.715978622
157,2023-01-05 10:13:52.592363101
158,2023-01-05 10:54:28.468747579
159,2023-01-05 11:35:04.345132057
160,2023-01-05 12:15:40.221516536
161,2023-01-05 12:56:16.097901014
162,2023-01-05 13:36:51.974285492
163,2023-01-05 14:17:27.850669971
164,2023-01-05 14:58:03.727054449
165,2023-01-05 15:38:39.603438928
166,2023-01-05 16:19:15.479823406
167,2023-01-05 16:59:51.356207884
168,2023-01-05 17:40:27.232592363
169,2023-01-05 18:21:03.108976841
170,2023-01-05 19:01:38.985361319
171,2023-01-05 19:42:14.861745798
172,2023-01-05 20:22:50.738130276
173,2023-01-05 21:03:26.614514754
174,2023-01-05 21:44:02.490899233
175,2023-01-05 22:24:38.367283711
176,2023-01-05 23:05:14.243668189
177,2023-01-05 23:45:50.120052668
178,2023-01-06 00:26:25.996437146
