,registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,city,insurance,transmission_type,owner_type,fuel_type,body_type,Date,erro_previsao,reclamacoes,previsao,lucro,prejuizo
0,2019,1199,30910,80.0,5.0,24.0,5.66,0,5.515600000000005,Pune,Third Party,Manual,First Owner,Petrol,Hatchback,2023-01-01 00:00:00.000000000,0.14439999999999475,sem_reclamacao,-0.14439999999999475,,-0.14439999999999475
1,2018,1199,48089,90.0,5.0,18.0,6.64,1,6.758899999999998,Jaipur,Zero Dep,Manual,Third Owner,Petrol,SUV,2023-01-01 00:40:35.876384478,0.11889999999999823,sem_reclamacao,0.11889999999999823,0.11889999999999823,
2,2015,1497,51000,120.0,5.0,18.0,5.65,2,5.714999999999993,Mumbai,Third Party insurance,Manual,Second Owner,Petrol,Sedan,2023-01-01 01:21:11.752768956,0.0649999999999924,sem_reclamacao,0.0649999999999924,0.0649999999999924,
3,2021,1956,30000,170.0,7.0,14.0,23.0,3,23.3035,Mumbai,Third Party insurance,Automatic,First Owner,Diesel,SUV,2023-01-01 02:01:47.629153435,0.30349999999999966,sem_reclamacao,0.30349999999999966,0.30349999999999966,
4,2019,1197,61113,80.0,5.0,22.0,6.87,4,6.743700000000003,Kolkata,Zero Dep,Automatic,First Owner,Petrol,Hatchback,2023-01-01 02:42:23.505537913,0.12629999999999697,sem_reclamacao,-0.12629999999999697,,-0.12629999999999697
5,2021,2993,31738,260.0,4.0,18.0,115.0,5,100.256,Pune,Third Party insurance,Automatic,First Owner,Diesel,BMW,2023-01-01 03:22:59.381922391,14.744,com_reclamacao,-14.744,,-14.744
6,2021,1197,30000,80.0,5.0,18.0,7.85,6,7.862900000000009,Delhi,Third Party insurance,Manual,Second Owner,Petrol,SUV,2023-01-01 04:03:35.258306870,0.012900000000009015,sem_reclamacao,0.012900000000009015,0.012900000000009015,
7,2015,1598,80000,100.0,5.0,16.0,5.95,7,5.694399999999996,Bangalore,Third Party insurance,Manual,Third Owner,Petrol,Sedan,2023-01-01 04:44:11.134691348,0.2556000000000038,sem_reclamacao,-0.2556000000000038,,-0.2556000000000038
8,2018,1995,36000,190.0,5.0,22.0,38.75,8,36.6223,Delhi,Third Party insurance,Automatic,First Owner,Diesel,Sedan,2023-01-01 05:24:47.011075826,2.1276999999999973,com_reclamacao,-2.1276999999999973,,-2.1276999999999973
9,2021,999,14608,100.0,5.0,18.0,9.6,9,9.764000000000012,Bangalore,Third Party,Automatic,First Owner,Petrol,SUV,2023-01-01 06:05:22.887460305,0.16400000000001214,sem_reclamacao,0.16400000000001214,0.16400000000001214,
10,2019,999,25000,70.0,5.0,22.0,3.49,10,3.868600000000004,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-01 06:45:58.763844783,0.3786000000000036,sem_reclamacao,0.3786000000000036,0.3786000000000036,
11,2017,2143,63000,170.0,5.0,20.0,26.5,11,27.1723,Pune,Comprehensive,Automatic,First Owner,Diesel,Sedan,2023-01-01 07:26:34.640229261,0.6722999999999999,com_reclamacao,0.6722999999999999,0.6722999999999999,
12,2018,999,30000,70.0,5.0,24.0,3.1,12,3.1669,Kolkata,Third Party insurance,Manual,Second Owner,Petrol,Hatchback,2023-01-01 08:07:10.516613740,0.06689999999999996,sem_reclamacao,0.06689999999999996,0.06689999999999996,
13,2019,1497,46034,110.0,5.0,22.0,10.22,13,9.747900000000008,Hyderabad,Zero Dep,Automatic,First Owner,Diesel,SUV,2023-01-01 08:47:46.392998218,0.4720999999999922,sem_reclamacao,-0.4720999999999922,,-0.4720999999999922
14,2013,1197,50824,90.0,5.0,22.0,4.55,14,4.294600000000004,Hyderabad,Third Party,Manual,First Owner,Petrol,Hatchback,2023-01-01 09:28:22.269382696,0.2553999999999954,sem_reclamacao,-0.2553999999999954,,-0.2553999999999954
15,2018,1497,120848,120.0,5.0,18.0,7.18,15,7.680599999999994,Bangalore,Zero Dep,Automatic,First Owner,Petrol,Sedan,2023-01-01 10:08:58.145767175,0.5005999999999942,com_reclamacao,0.5005999999999942,0.5005999999999942,
16,2015,1197,36888,90.0,5.0,22.0,3.78,16,3.784599999999994,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Sedan,2023-01-01 10:49:34.022151653,0.004599999999994164,sem_reclamacao,0.004599999999994164,0.004599999999994164,
17,2016,2987,66000,260.0,7.0,12.0,49.5,17,44.75460000000001,Delhi,Comprehensive,Automatic,Second Owner,Diesel,SUV,2023-01-01 11:30:09.898536131,4.745399999999989,com_reclamacao,-4.745399999999989,,-4.745399999999989
18,2018,1248,83083,70.0,5.0,28.0,6.75,18,6.731599999999998,Jaipur,Comprehensive,Manual,First Owner,Diesel,Hatchback,2023-01-01 12:10:45.774920610,0.018400000000002414,sem_reclamacao,-0.018400000000002414,,-0.018400000000002414
19,2018,2498,59889,100.0,6.0,16.0,9.85,19,9.097200000000011,Bangalore,Third Party insurance,Manual,First Owner,Diesel,SUV,2023-01-01 12:51:21.651305088,0.7527999999999881,com_reclamacao,-0.7527999999999881,,-0.7527999999999881
20,2018,1194,45600,90.0,5.0,20.0,5.5,20,5.4205,Hyderabad,Zero Dep,Manual,First Owner,Petrol,Hatchback,2023-01-01 13:31:57.527689567,0.07950000000000035,sem_reclamacao,-0.07950000000000035,,-0.07950000000000035
21,2019,2179,80000,150.0,7.0,16.0,15.0,22,15.175999999999998,Hyderabad,Third Party insurance,Automatic,First Owner,Diesel,SUV,2023-01-01 14:12:33.404074045,0.17599999999999838,sem_reclamacao,0.17599999999999838,0.17599999999999838,
22,2017,1197,26997,80.0,5.0,18.0,6.68,23,6.160299999999996,Hyderabad,Comprehensive,Manual,First Owner,Petrol,Hatchback,2023-01-01 14:53:09.280458523,0.5197000000000038,com_reclamacao,-0.5197000000000038,,-0.5197000000000038
23,2011,1197,63386,80.0,5.0,20.0,2.46,25,2.4819000000000018,Pune,Third Party,Manual,First Owner,Petrol,Hatchback,2023-01-01 15:33:45.156843002,0.021900000000001807,sem_reclamacao,0.021900000000001807,0.021900000000001807,
24,2017,1999,56000,180.0,5.0,16.0,43.0,26,41.64149999999999,Bangalore,Comprehensive,Automatic,First Owner,Diesel,SUV,2023-01-01 16:14:21.033227480,1.3585000000000065,com_reclamacao,-1.3585000000000065,,-1.3585000000000065
25,2017,1199,47000,90.0,5.0,18.0,7.75,27,7.1731,Bangalore,Comprehensive,Automatic,First Owner,Petrol,Hatchback,2023-01-01 16:54:56.909611958,0.5769000000000002,com_reclamacao,-0.5769000000000002,,-0.5769000000000002
26,2017,1498,70681,100.0,5.0,22.0,7.33,28,7.346500000000009,Bangalore,Comprehensive,Manual,First Owner,Diesel,SUV,2023-01-01 17:35:32.785996437,0.01650000000000862,sem_reclamacao,0.01650000000000862,0.01650000000000862,
27,2020,1591,30000,120.0,5.0,16.0,8.5,29,9.6626,Gurgaon,Third Party insurance,Manual,First Owner,Petrol,Sedan,2023-01-01 18:16:08.662380915,1.1625999999999994,com_reclamacao,1.1625999999999994,1.1625999999999994,
28,2019,1582,56000,130.0,5.0,18.0,15.75,30,14.6076,Bangalore,Comprehensive,Automatic,First Owner,Diesel,SUV,2023-01-01 18:56:44.538765393,1.1424000000000003,com_reclamacao,-1.1424000000000003,,-1.1424000000000003
29,2018,1198,60000,80.0,6.0,18.0,3.95,32,3.986899999999995,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback,2023-01-01 19:37:20.415149872,0.036899999999994826,sem_reclamacao,0.036899999999994826,0.036899999999994826,
30,2019,1197,23717,80.0,5.0,18.0,7.34,33,7.304100000000001,Chandigarh,Third Party,Automatic,Second Owner,Petrol,Hatchback,2023-01-01 20:17:56.291534350,0.03589999999999893,sem_reclamacao,-0.03589999999999893,,-0.03589999999999893
