registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,insurance,transmission_type,owner_type,fuel_type,body_type
2019,1199,30910,80.0,5.0,24.0,5.66,0,5.515600000000005,Third Party,Manual,First Owner,Petrol,Hatchback
2018,1199,48089,90.0,5.0,18.0,6.64,1,6.758899999999998,Zero Dep,Manual,Third Owner,Petrol,SUV
2015,1497,51000,120.0,5.0,18.0,5.65,2,5.714999999999993,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2021,1956,30000,170.0,7.0,14.0,23.0,3,23.3035,Third Party insurance,Automatic,First Owner,Diesel,SUV
2019,1197,61113,80.0,5.0,22.0,6.87,4,6.743700000000003,Zero Dep,Automatic,First Owner,Petrol,Hatchback
2021,2993,31738,260.0,4.0,18.0,115.0,5,100.256,Third Party insurance,Automatic,First Owner,Diesel,BMW
2021,1197,30000,80.0,5.0,18.0,7.85,6,7.862900000000009,Third Party insurance,Manual,Second Owner,Petrol,SUV
2015,1598,80000,100.0,5.0,16.0,5.95,7,5.694399999999996,Third Party insurance,Manual,Third Owner,Petrol,Sedan
2018,1995,36000,190.0,5.0,22.0,38.75,8,36.6223,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2021,999,14608,100.0,5.0,18.0,9.6,9,9.764000000000012,Third Party,Automatic,First Owner,Petrol,SUV
2019,999,25000,70.0,5.0,22.0,3.49,10,3.868600000000004,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,2143,63000,170.0,5.0,20.0,26.5,11,27.1723,Comprehensive,Automatic,First Owner,Diesel,Sedan
2018,999,30000,70.0,5.0,24.0,3.1,12,3.1669,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2019,1497,46034,110.0,5.0,22.0,10.22,13,9.747900000000008,Zero Dep,Automatic,First Owner,Diesel,SUV
2013,1197,50824,90.0,5.0,22.0,4.55,14,4.294600000000004,Third Party,Manual,First Owner,Petrol,Hatchback
2018,1497,120848,120.0,5.0,18.0,7.18,15,7.680599999999994,Zero Dep,Automatic,First Owner,Petrol,Sedan
2015,1197,36888,90.0,5.0,22.0,3.78,16,3.784599999999994,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2016,2987,66000,260.0,7.0,12.0,49.5,17,44.75460000000001,Comprehensive,Automatic,Second Owner,Diesel,SUV
2018,1248,83083,70.0,5.0,28.0,6.75,18,6.731599999999998,Comprehensive,Manual,First Owner,Diesel,Hatchback
2018,2498,59889,100.0,6.0,16.0,9.85,19,9.097200000000011,Third Party insurance,Manual,First Owner,Diesel,SUV
2018,1194,45600,90.0,5.0,20.0,5.5,20,5.4205,Zero Dep,Manual,First Owner,Petrol,Hatchback
2019,2179,80000,150.0,7.0,16.0,15.0,22,15.175999999999998,Third Party insurance,Automatic,First Owner,Diesel,SUV
2017,1197,26997,80.0,5.0,18.0,6.68,23,6.160299999999996,Comprehensive,Manual,First Owner,Petrol,Hatchback
2011,1197,63386,80.0,5.0,20.0,2.46,25,2.4819000000000018,Third Party,Manual,First Owner,Petrol,Hatchback
2017,1999,56000,180.0,5.0,16.0,43.0,26,41.64149999999999,Comprehensive,Automatic,First Owner,Diesel,SUV
2017,1199,47000,90.0,5.0,18.0,7.75,27,7.1731,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2017,1498,70681,100.0,5.0,22.0,7.33,28,7.346500000000009,Comprehensive,Manual,First Owner,Diesel,SUV
2020,1591,30000,120.0,5.0,16.0,8.5,29,9.6626,Third Party insurance,Manual,First Owner,Petrol,Sedan
2019,1582,56000,130.0,5.0,18.0,15.75,30,14.6076,Comprehensive,Automatic,First Owner,Diesel,SUV
2018,1198,60000,80.0,6.0,18.0,3.95,32,3.986899999999995,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2019,1197,23717,80.0,5.0,18.0,7.34,33,7.304100000000001,Third Party,Automatic,Second Owner,Petrol,Hatchback
2019,1197,28438,80.0,5.0,18.0,7.59,34,6.905900000000002,Zero Dep,Manual,Second Owner,Petrol,Hatchback
2019,1462,68796,100.0,7.0,20.0,9.0,35,9.5684,Comprehensive,Manual,First Owner,Petrol,MUV
2017,1197,40356,80.0,5.0,22.0,7.12,36,6.983199999999999,Comprehensive,Manual,First Owner,Petrol,Hatchback
2016,2987,100000,250.0,7.0,12.0,32.5,37,37.067,Comprehensive,Automatic,Second Owner,Diesel,SUV
2022,1197,30000,80.0,5.0,20.0,7.5,39,7.5521,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2013,1248,55544,70.0,5.0,22.0,4.54,40,4.462700000000003,Third Party,Manual,Second Owner,Diesel,Hatchback
2013,2143,120000,170.0,5.0,14.0,7.5,41,8.169499999999998,Third Party insurance,Automatic,Third Owner,Diesel,Sedan
2022,799,14811,50.0,5.0,20.0,4.08,42,4.1298999999999975,Comprehensive,Manual,First Owner,Petrol,Hatchback
2022,1497,5500,110.0,5.0,18.0,11.25,43,11.7957,Third Party insurance,Manual,First Owner,Petrol,Sedan
2014,1499,50219,110.0,5.0,16.0,4.08,44,4.022699999999997,Third Party,Manual,First Owner,Petrol,SUV
2021,1199,14127,120.0,5.0,18.0,9.15,45,9.726099999999992,Comprehensive,Automatic,Second Owner,Petrol,SUV
2017,1196,40000,90.0,5.0,18.0,4.5,46,4.4174,Third Party insurance,Manual,First Owner,Petrol,Sedan
2010,995,80000,60.0,5.0,16.0,0.85,47,0.9829999999999984,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2016,1199,69425,90.0,5.0,18.0,5.5,48,5.434100000000002,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,1591,30000,120.0,5.0,16.0,9.21,49,9.336100000000007,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2019,1497,33000,120.0,5.0,14.0,9.0,50,9.3651,Comprehensive,Automatic,Second Owner,Petrol,SUV
2017,1591,23750,120.0,5.0,18.0,8.0,52,7.9976,Third Party insurance,Manual,First Owner,Petrol,Sedan
2014,1591,100000,120.0,5.0,16.0,4.0,53,4.2835,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
2011,1991,80000,150.0,5.0,18.0,2.5,54,2.6043000000000007,Third Party insurance,Manual,Second Owner,Diesel,Sedan
2011,1497,63000,120.0,5.0,16.0,2.95,55,3.076399999999996,Comprehensive,Automatic,Second Owner,Petrol,Sedan
2018,1999,51620,180.0,5.0,16.0,34.0,56,36.9635,Third Party,Automatic,Second Owner,Diesel,SUV
2011,998,60014,70.0,5.0,18.0,2.75,57,2.4793000000000003,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2014,1498,90000,100.0,7.0,24.0,5.5,58,5.4198,Comprehensive,Manual,First Owner,Diesel,MUV
2020,2199,42885,200.0,7.0,14.0,29.75,59,30.0651,Zero Dep,Automatic,First Owner,Diesel,MUV
2021,1199,38323,120.0,5.0,16.0,10.25,60,10.589999999999996,Comprehensive,Automatic,First Owner,Petrol,SUV
2012,1197,70000,80.0,5.0,20.0,2.75,61,2.5914,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2021,796,10000,50.0,5.0,22.0,3.9,62,3.9514999999999953,Comprehensive,Manual,First Owner,Petrol,Hatchback
